ID,Name,Centroid
C194,Wedemark,POINT (9.708751821262283 52.558193749271716)
C195,Wennigsen (Deister),POINT (9.577889720251058 52.260857269366625)
C196,Wunstorf,POINT (9.392916153407679 52.43723067270696)
C197,Bassum,POINT (8.736872314553656 52.85453741320603)
C198,Diepholz,POINT (8.363876032747125 52.60976902996757)
C199,Stuhr,POINT (8.726370005069594 52.99794290935519)
C200,Sulingen,POINT (8.785624960004814 52.67451559734841)
C201,Syke,POINT (8.846264134805987 52.91004745791438)
C202,Twistringen,POINT (8.587550930410561 52.793554849120724)
C203,Wagenfeld,POINT (8.624395911412652 52.545599228663185)
C204,Weyhe,POINT (8.850862759740307 52.98873330118305)
C205,Brockum,POINT (8.445772206831775 52.48990788132089)
C206,Hüde,POINT (8.368519942200841 52.50353363896057)
C207,Lembruch,POINT (8.365328828115175 52.5280904817791)
C208,Lemförde,POINT (8.370470249155147 52.46327078319185)
C209,Marl,POINT (8.373615615177709 52.48526702377372)
C210,Quernheim,POINT (8.406348864441435 52.47879890485748)
C211,Stemshorn,POINT (8.331572999028616 52.46076573749707)
C212,Barnstorf,POINT (8.47979424108088 52.71234527897661)
C213,Drebber,POINT (8.412351325083199 52.6743282430644)
C214,Drentwede,POINT (8.566969899665953 52.74046512694949)
C215,Eydelstedt,POINT (8.576645401855421 52.67931553577077)
C216,Asendorf,POINT (9.000374907646576 52.75870160124218)
C217,Martfeld,POINT (9.05973961189732 52.872919310520494)
C218,Schwarme,POINT (9.022761085547739 52.90133612359502)
C219,Bruchhausen-Vilsen,POINT (8.95490033186037 52.822237321478696)
C220,Bahrenborstel,POINT (8.79134015602293 52.55674820636025)
C221,Barenburg,POINT (8.794810638020774 52.61755667646679)
C222,Freistatt,POINT (8.638925786804734 52.65406297974499)
C223,Kirchdorf,POINT (8.83959574335027 52.5861637754272)
C224,Varrel,POINT (8.715850782274046 52.600721098558125)
C225,Wehrbleck,POINT (8.672931869082854 52.6348733200818)
C226,Barver,POINT (8.591121757849029 52.61440603755443)
C227,Dickel,POINT (8.489532414163273 52.64084827692309)
C228,Hemsloh,POINT (8.52230055362926 52.57919767294914)
C229,Rehden,POINT (8.483553812879753 52.5868919002646)
C230,Wetschen,POINT (8.44600490091178 52.58799240741851)
C231,Affinghausen,POINT (8.872105708229064 52.77734585068174)
C232,Ehrenburg,POINT (8.684356935965384 52.73471562582086)
C233,Neuenkirchen,POINT (8.7358421272792 52.77137825314184)
C234,Scholen,POINT (8.770400087432886 52.74151532542268)
C235,Schwaförden,POINT (8.84063090569207 52.73916335881973)
C236,Sudwalde,POINT (8.83817907530255 52.79499363366704)
C237,Borstel,POINT (8.960812954384076 52.66497451503086)
C238,Maasen,POINT (8.891233980088632 52.66973612210182)
C239,Mellinghausen,POINT (8.901874320396018 52.71714906599322)
C240,Siedenburg,POINT (8.952548855870152 52.6984897047351)
C241,Staffhorst,POINT (8.991037683440457 52.71396029433353)
C242,Aerzen,POINT (9.24451598096405 52.05641657162142)
C243,Bad Münder am Deister,POINT (9.434888670548235 52.20223933573627)
C244,Bad Pyrmont,POINT (9.279786867374746 51.971265815276546)
C245,Coppenbrügge,POINT (9.516953146564605 52.10702049887282)
C246,Emmerthal,POINT (9.409340161513883 52.02452295455617)
C247,Hameln,POINT (9.368764712173482 52.108127229256304)
C248,Hessisch Oldendorf,POINT (9.266552338379075 52.16444706193784)
C249,Salzhemmendorf,POINT (9.608090897047102 52.06745863278679)
C250,Alfeld (Leine),POINT (9.825149518133403 51.98570355998334)
C251,Algermissen,POINT (9.970993562531103 52.263190099389526)
C252,Bad Salzdetfurth,POINT (10.024504566571283 52.07232728158501)
C253,Bockenem,POINT (10.120270821741565 52.007259634748365)
C254,Diekholzen,POINT (9.945002681928452 52.09229933059943)
C255,Elze,POINT (9.704917803048401 52.118627254016104)
C256,Giesen,POINT (9.890994864041252 52.19863915146669)
C257,Harsum,POINT (10.000589698165063 52.2096715648838)
