ID,Geometry
C24,"POLYGON ((6.2155800364397695 51.71281366627351, 6.252241668374495 51.71558845252299, 6.27350435600646 51.714530272138624, 6.301054630619977 51.69690503364896, 6.310162120485441 51.70200586670591, 6.315549599119023 51.68996521847929, 6.343176026399635 51.6873254567246, 6.354961887561606 51.69691981658303, 6.361427970102232 51.694466406764136, 6.37980648552371 51.687459002895686, 6.372766248675439 51.67296036420743, 6.3645315143440175 51.66084978402787, 6.355081850662075 51.66041036748485, 6.354617397856725 51.64557201914201, 6.325169024662265 51.636262536147875, 6.298817340268001 51.64268931148039, 6.28973563859525 51.64725862950973, 6.279586491504142 51.63984070076354, 6.2556674883451 51.65334668109663, 6.212104568265281 51.675274157847156, 6.229406329927385 51.693914200351244, 6.2155800364397695 51.71281366627351))"
C25,"POLYGON ((6.321021361951457 51.44580543501096, 6.346168382570899 51.44056937099742, 6.372027060308712 51.41789016541082, 6.39723098676928 51.411491733202254, 6.387464766162549 51.39435489938103, 6.362619925758152 51.386498510593775, 6.3583648349507635 51.377793640913026, 6.33202232092472 51.37595432424633, 6.30424359698432 51.35990641931666, 6.275434480915757 51.356869342739316, 6.2667428175675495 51.38923462720706, 6.285965038311089 51.39632914542687, 6.283965016150358 51.41137409238599, 6.310912969888565 51.42464941278521, 6.309274794872383 51.43405109034098, 6.321021361951457 51.44580543501096))"
C26,"POLYGON ((6.212104568265281 51.675274157847156, 6.2556674883451 51.65334668109663, 6.240224619421256 51.63936388485299, 6.255830391880497 51.624147607836, 6.243077189233849 51.60259967320016, 6.200431537987944 51.59163047070885, 6.189706323687134 51.569681030987404, 6.170954885765136 51.56076582628873, 6.157471878447793 51.56633476490103, 6.091818676495591 51.605994059904376, 6.094174434176342 51.61609477109445, 6.110431706630324 51.613681743900926, 6.119116845901669 51.61912349981399, 6.157542547499528 51.64732881565424, 6.152496942863042 51.654843391721265, 6.177616834796451 51.66400536852314, 6.188635268045426 51.67730355056252, 6.212104568265281 51.675274157847156))"
C27,"POLYGON ((6.930997637257561 51.23817148947738, 6.939437964124812 51.22733726501836, 6.982014027686075 51.21814665887168, 6.982761998112633 51.2141636909474, 6.994824731947504 51.21565166689063, 6.988308606353658 51.20346746672207, 6.963932336835677 51.19734885479833, 6.9369132928822665 51.19718073818198, 6.92016436460974 51.190212508245054, 6.905553540811812 51.20062897964534, 6.911542321473784 51.21082957232254, 6.874306157770038 51.21876133730753, 6.87160551644419 51.24161196172114, 6.90223035290697 51.237377828569166, 6.907003634325489 51.2424156841172, 6.92618595782723 51.24266064931279, 6.930997637257561 51.23817148947738))"
C28,"POLYGON ((6.982014027686075 51.21814665887168, 7.003762682824743 51.230943196035426, 7.004298770742768 51.24233679175621, 7.022068815380033 51.24292769767433, 7.038572040113754 51.23584197841034, 7.039836769512908 51.22873681879642, 7.051942427517227 51.23125580748937, 7.034312246851367 51.217872952146685, 7.048149557484474 51.20742928985831, 7.029265372781822 51.18829709372738, 6.987260428149754 51.17180610947403, 6.977787770425208 51.19091348813019, 6.963932336835677 51.19734885479833, 6.988308606353658 51.20346746672207, 6.994824731947504 51.21565166689063, 6.982761998112633 51.2141636909474, 6.982014027686075 51.21814665887168))"
C29,"POLYGON ((7.00447000739484 51.35724334461971, 7.01126330631973 51.328084886335695, 7.004022582252912 51.324246826329144, 6.9930998534249165 51.32390758399375, 6.9820284841951565 51.30016136592239, 6.951122822803273 51.29534322223025, 6.933966113906398 51.30418587450405, 6.931334794258275 51.31230197264991, 6.94230820182778 51.31903083554976, 6.922763149005119 51.33100159021283, 6.917578807736262 51.34169953952932, 6.925960717815869 51.348150199842955, 6.950070739644369 51.351836601628804, 6.964728279928088 51.34772151640664, 6.98796157671575 51.358777435323425, 7.00447000739484 51.35724334461971))"
C30,"POLYGON ((6.92016436460974 51.190212508245054, 6.9369132928822665 51.19718073818198, 6.963932336835677 51.19734885479833, 6.977787770425208 51.19091348813019, 6.987260428149754 51.17180610947403, 6.980680292731952 51.16529890298388, 6.962862797017595 51.16467987499762, 6.951146400520985 51.14693088991619, 6.924875254199618 51.140705293292115, 6.895130444321007 51.158394230129666, 6.898725121415964 51.17252898092801, 6.913372705063774 51.17694430757199, 6.9124008589943955 51.1866879741038, 6.92016436460974 51.190212508245054))"
C31,"POLYGON ((6.924875254199618 51.140705293292115, 6.951146400520985 51.14693088991619, 6.996256601831234 51.144427525856436, 6.996552337802178 51.11714491385227, 6.992299399467136 51.087341977733246, 6.991226519088602 51.075154934946795, 6.971984659600707 51.067209764819545, 6.937551851651538 51.071278574912, 6.920681456817348 51.081491963941914, 6.927325327033804 51.082920660136615, 6.921264863835491 51.104359802954434, 6.905688245180109 51.110523615320055, 6.907385254465363 51.126519838411966, 6.924875254199618 51.140705293292115))"
C32,"POLYGON ((6.936233471798972 51.27606078209576, 6.940681231126234 51.283365990793676, 6.980669685627746 51.29481531073593, 7.005051697885153 51.28951492686443, 7.042454096204896 51.25479726743234, 7.036233239003934 51.24673432063582, 7.0182770162722505 51.24695884645167, 7.022068815380033 51.24292769767433, 7.004298770742768 51.24233679175621, 7.003762682824743 51.230943196035426, 6.982014027686075 51.21814665887168, 6.939437964124812 51.22733726501836, 6.930997637257561 51.23817148947738, 6.9273926261281105 51.2648742602898, 6.936233471798972 51.27606078209576))"
C33,"POLYGON ((6.855195956678177 51.12602280459207, 6.870658397330548 51.130008656705385, 6.907385254465363 51.126519838411966, 6.905688245180109 51.110523615320055, 6.921264863835491 51.104359802954434, 6.927325327033804 51.082920660136615, 6.920681456817348 51.081491963941914, 6.8970045963725095 51.06437231449095, 6.859673964776003 51.0742389271628, 6.854367661571993 51.084603890153964, 6.879667254429764 51.09884141469976, 6.880214049116103 51.11123108964839, 6.855195956678177 51.12602280459207))"
